Português BR,Tupi antigo,Kaingang ,Guajajara
água,,,'y
amar,,,uzamutar
árvore,,,ywyra
casa,,,tÃ puz
chuva,,,Ã mÃ n
comer,,,umai'u
criança,,,kwarer
estrela,,,zahytata
flecha,,,u'yw
fruta,,,ma'ywa
jacaré,,,zakare
lÃíngua,,,iapeku
lua,,,zahy
mãe,,,ihy
não,,,nan
onça,,,zÃ wÃ ruhu
pai,,,tu
papagaio,,,azuru
rio,,,'yrykaw
sim,,,eru'u
sol,,,kwarahy
vento,,,ywytu
água,'y,,
árvore,ybyrá,,
casa,oka,,
chuva,amana,,
comida,mbiú,,
criança,pitanga,,
estrela,îasytatá,,
filho,membyra,,
flecha,uuba,,
fruta,'ybá,,
jacaré,îakaré,,
língua,nhe'enga,,
lua,îasy,,
mãe,sy,,
mar,pará,,
não,aan,,
pai,tuba,,
peixe,pirá,,
pequeno,mirim,,
onça,îagûara,,
sim,pá,,
sol,kûarasy,,
vento,ybytu,,
